resort,hours,lam,solver,seed,objective,seconds,status,vertical_m,piste_km,coverage_pct,edges,prize_edges,verified
val-thorens,1,0.0,greedy,,0.061108,0.0,ok,1302,7.4,5.5,426,320,1
val-thorens,1,0.0,anneal,0,0.102706,8.16,ok,1871,12.5,8.0,426,320,1
val-thorens,1,0.0,anneal,1,0.109409,8.15,ok,2629,13.3,11.2,426,320,1
val-thorens,1,0.0,anneal,2,0.101798,8.16,ok,2055,12.4,8.8,426,320,1
val-thorens,1,0.0,anneal,3,0.109619,8.15,ok,2339,13.4,10.0,426,320,1
val-thorens,1,0.0,anneal,4,0.10934,8.13,ok,2628,13.3,11.2,426,320,1
val-thorens,1,0.0,ilp,,0.112762,8.06,proven,2663,13.7,11.7,420,316,1
val-thorens,1,0.5,greedy,,0.079162,0.01,ok,1695,10.5,7.2,426,320,1
val-thorens,1,0.5,anneal,0,0.11314,8.14,ok,2663,13.7,11.4,426,320,1
val-thorens,1,0.5,anneal,1,0.11314,8.13,ok,2663,13.7,11.4,426,320,1
val-thorens,1,0.5,anneal,2,0.11314,8.15,ok,2663,13.7,11.4,426,320,1
val-thorens,1,0.5,anneal,3,0.113129,8.13,ok,2734,13.4,11.7,426,320,1
val-thorens,1,0.5,anneal,4,0.113129,8.14,ok,2734,13.4,11.7,426,320,1
val-thorens,1,0.5,ilp,,0.113211,22.24,proven,2734,13.4,12.0,420,316,1
val-thorens,1,1.0,greedy,,0.111399,0.01,ok,2613,12.8,11.1,426,320,1
val-thorens,1,1.0,anneal,0,0.111399,8.14,ok,2613,12.8,11.1,426,320,1
val-thorens,1,1.0,anneal,1,0.116523,8.14,ok,2734,13.4,11.7,426,320,1
val-thorens,1,1.0,anneal,2,0.116523,8.13,ok,2734,13.4,11.7,426,320,1
val-thorens,1,1.0,anneal,3,0.113517,8.15,ok,2663,13.7,11.4,426,320,1
val-thorens,1,1.0,anneal,4,0.116523,8.13,ok,2734,13.4,11.7,426,320,1
val-thorens,1,1.0,ilp,,0.116523,22.4,proven,2734,13.4,12.0,420,316,1
val-thorens,3,0.0,greedy,,0.24465,0.02,ok,5564,29.8,23.7,426,320,1
val-thorens,3,0.0,anneal,0,0.283758,8.38,ok,6407,34.6,27.3,426,320,1
val-thorens,3,0.0,anneal,1,0.281414,8.33,ok,6119,34.3,26.1,426,320,1
val-thorens,3,0.0,anneal,2,0.289656,8.33,ok,6190,35.3,26.4,426,320,1
val-thorens,3,0.0,anneal,3,0.272578,8.34,ok,6476,33.2,27.6,426,320,1
val-thorens,3,0.0,anneal,4,0.274939,8.36,ok,6426,33.5,27.4,426,320,1
val-thorens,3,0.0,ilp,,0.312388,2.77,proven,6107,38.0,26.0,426,320,1
val-thorens,3,0.5,greedy,,0.240851,0.01,ok,5733,28.9,24.4,426,320,1
val-thorens,3,0.5,anneal,0,0.288813,8.33,ok,7103,33.5,30.3,426,320,1
val-thorens,3,0.5,anneal,1,0.282962,8.34,ok,6939,32.9,29.6,426,320,1
val-thorens,3,0.5,anneal,2,0.286513,8.33,ok,6932,33.8,29.5,426,320,1
val-thorens,3,0.5,anneal,3,0.288755,8.33,ok,7245,32.7,30.9,426,320,1
val-thorens,3,0.5,anneal,4,0.280466,8.33,ok,6816,32.9,29.1,426,320,1
val-thorens,3,0.5,ilp,,0.305256,15.19,proven,7425,35.8,31.6,426,320,1
val-thorens,3,1.0,greedy,,0.260951,0.01,ok,6122,27.7,26.1,426,320,1
